Jordan Clarkson,Jordan Clarkson,Utah Jazz,2019,"$13,437,500"
Nicolas Claxton,Nicolas Claxton,Brooklyn Nets,2019,"$898,310"
Nicolas Claxton,Nicolas Claxton,Brooklyn Nets,2020,"$1,517,981"
Nicolas Claxton,Nicolas Claxton,Brooklyn Nets,2021,"$1,782,621"
Chris Clemons,Chris Clemons,Houston Rockets,2019,"$568,422"
Chris Clemons,Chris Clemons,Houston Rockets,2020,"$1,517,981"
Chris Clemons,Chris Clemons,Houston Rockets,2021,"$1,782,621"
John Collins,John Collins,Atlanta Hawks,2019,"$2,686,560"
John Collins,John Collins,Atlanta Hawks,2020,"$4,137,302"
Zach Collins,Zach Collins,Portland Trail Blazers,2019,"$4,240,200"
Zach Collins,Zach Collins,Portland Trail Blazers,2020,"$5,406,255"
Mike Conley,Mike Conley,Utah Jazz,2019,"$32,511,623"
Mike Conley,Mike Conley,Utah Jazz,2020,"$34,504,132"
Pat Connaughton,Pat Connaughton,Milwaukee Bucks,2019,"$1,723,050"
Quinn Cook,Quinn Cook,Los Angeles Lakers,2019,"$3,000,000"
Quinn Cook,Quinn Cook,Los Angeles Lakers,2020,"$3,000,000"
Tyler Cook,Tyler Cook,Cleveland Cavaliers,2019,"$101,504"
DeMarcus Cousins,DeMarcus Cousins,Los Angeles Lakers,2019,"$3,500,000"
Robert Covington,Robert Covington,Houston Rockets,2019,"$11,301,219"
Robert Covington,Robert Covington,Houston Rockets,2020,"$12,138,345"
Robert Covington,Robert Covington,Houston Rockets,2021,"$12,975,471"
Allen Crabbe,Allen Crabbe,Minnesota Timberwolves,2019,"$17,818,456"
Torrey Craig,Torrey Craig,Denver Nuggets,2019,"$2,100,000"
Jae Crowder,Jae Crowder,Miami Heat,2019,"$7,815,533"
Jarrett Culver,Jarrett Culver,Minnesota Timberwolves,2019,"$5,813,640"
Jarrett Culver,Jarrett Culver,Minnesota Timberwolves,2020,"$6,104,280"
Jarrett Culver,Jarrett Culver,Minnesota Timberwolves,2021,"$6,395,160"
Jarrett Culver,Jarrett Culver,Minnesota Timberwolves,2022,"$8,109,063"
Seth Curry,Seth Curry,Dallas Mavericks,2019,"$7,441,860"
Seth Curry,Seth Curry,Dallas Mavericks,2020,"$7,813,953"
Seth Curry,Seth Curry,Dallas Mavericks,2021,"$8,186,047"
Seth Curry,Seth Curry,Dallas Mavericks,2022,"$8,558,140"
Stephen Curry,Stephen Curry,Golden State Warriors,2019,"$40,231,758"
Stephen Curry,Stephen Curry,Golden State Warriors,2020,"$43,006,362"
Stephen Curry,Stephen Curry,Golden State Warriors,2021,"$45,780,966"
Troy Daniels,Troy Daniels,Denver Nuggets,2019,"$481,000"
Anthony Davis,Anthony Davis,Los Angeles Lakers,2019,"$27,093,019"
Anthony Davis,Anthony Davis,Los Angeles Lakers,2020,"$28,751,775"
Ed Davis,Ed Davis,Utah Jazz,2019,"$4,767,000"
Ed Davis,Ed Davis,Utah Jazz,2020,"$5,005,350"
Terence Davis,Terence Davis,Toronto Raptors,2019,"$898,310"
Terence Davis,Terence Davis,Toronto Raptors,2020,"$1,517,981"
DeMar DeRozan,DeMar DeRozan,San Antonio Spurs,2019,"$27,739,975"
DeMar DeRozan,DeMar DeRozan,San Antonio Spurs,2020,"$27,739,975"
Dewayne Dedmon,Dewayne Dedmon,Atlanta Hawks,2019,"$13,333,334"
Dewayne Dedmon,Dewayne Dedmon,Atlanta Hawks,2020,"$13,333,333"
Dewayne Dedmon,Dewayne Dedmon,Atlanta Hawks,2021,"$13,333,333"
Matthew Dellavedova,Matthew Dellavedova,Cleveland Cavaliers,2019,"$9,607,500"
Donte DiVincenzo,Donte DiVincenzo,Milwaukee Bucks,2019,"$2,905,800"
Donte DiVincenzo,Donte DiVincenzo,Milwaukee Bucks,2020,"$3,044,160"
Donte DiVincenzo,Donte DiVincenzo,Milwaukee Bucks,2021,"$4,675,830"
Cheick Diallo,Cheick Diallo,Phoenix Suns,2019,"$1,678,854"
Cheick Diallo,Cheick Diallo,Phoenix Suns,2020,"$1,824,003"
Hamidou Diallo,Hamidou Diallo,Oklahoma City Thunder,2019,"$1,416,852"
Hamidou Diallo,Hamidou Diallo,Oklahoma City Thunder,2020,"$1,663,861"
Gorgui Dieng,Gorgui Dieng,Memphis Grizzlies,2019,"$16,229,213"
Gorgui Dieng,Gorgui Dieng,Memphis Grizzlies,2020,"$17,287,640"
Spencer Dinwiddie,Spencer Dinwiddie,Brooklyn Nets,2019,"$10,600,000"
Spencer Dinwiddie,Spencer Dinwiddie,Brooklyn Nets,2020,"$11,400,000"
Spencer Dinwiddie,Spencer Dinwiddie,Brooklyn Nets,2021,"$12,300,000"
Luka Dončić,Luka Dončić,Dallas Mavericks,2019,"$7,683,360"
Luka Dončić,Luka Dončić,Dallas Mavericks,2020,"$8,049,360"
Luka Dončić,Luka Dončić,Dallas Mavericks,2021,"$10,174,391"
Damyean Dotson,Damyean Dotson,New York Knicks,2019,"$1,618,520"
Sekou Doumbouya,Sekou Doumbouya,Detroit Pistons,2019,"$3,285,120"
Sekou Doumbouya,Sekou Doumbouya,Detroit Pistons,2020,"$3,449,400"
Sekou Doumbouya,Sekou Doumbouya,Detroit Pistons,2021,"$3,613,680"
Sekou Doumbouya,Sekou Doumbouya,Detroit Pistons,2022,"$5,539,771"
Goran Dragić,Goran Dragić,Miami Heat,2019,"$19,217,900"
Andre Drummond,Andre Drummond,Cleveland Cavaliers,2019,"$27,093,019"
Andre Drummond,Andre Drummond,Cleveland Cavaliers,2020,"$28,751,775"
Jared Dudley,Jared Dudley,Los Angeles Lakers,2019,"$2,564,753"
Kris Dunn,Kris Dunn,Chicago Bulls,2019,"$5,348,007"
Kevin Durant,Kevin Durant,Brooklyn Nets,2019,"$37,199,000"
Kevin Durant,Kevin Durant,Brooklyn Nets,2020,"$39,058,950"
Kevin Durant,Kevin Durant,Brooklyn Nets,2021,"$40,918,900"
Kevin Durant,Kevin Durant,Brooklyn Nets,2022,"$42,778,850"
Carsen Edwards,Carsen Edwards,Boston Celtics,2019,"$1,228,026"
Carsen Edwards,Carsen Edwards,Boston Celtics,2020,"$1,517,981"
Carsen Edwards,Carsen Edwards,Boston Celtics,2021,"$1,782,621"
Carsen Edwards,Carsen Edwards,Boston Celtics,2022,"$1,930,681"
Wayne Ellington,Wayne Ellington,New York Knicks,2019,"$7,804,878"
Wayne Ellington,Wayne Ellington,New York Knicks,2020,"$8,195,122"
Joel Embiid,Joel Embiid,Philadelphia 76ers,2019,"$27,504,630"
Joel Embiid,Joel Embiid,Philadelphia 76ers,2020,"$29,542,010"
Joel Embiid,Joel Embiid,Philadelphia 76ers,2021,"$31,579,390"
Joel Embiid,Joel Embiid,Philadelphia 76ers,2022,"$33,616,770"
James Ennis,James Ennis,Orlando Magic,2019,"$1,882,867"
James Ennis,James Ennis,Orlando Magic,2020,"$2,071,978"
Jacob Evans,Jacob Evans,Minnesota Timberwolves,2019,"$1,925,880"
Jacob Evans,Jacob Evans,Minnesota Timberwolves,2020,"$2,017,320"
Jacob Evans,Jacob Evans,Minnesota Timberwolves,2021,"$3,641,263"
Dante Exum,Dante Exum,Cleveland Cavaliers,2019,"$9,600,000"
Dante Exum,Dante Exum,Cleveland Cavaliers,2020,"$9,600,000"
Derrick Favors,Derrick Favors,New Orleans Pelicans,2019,"$17,650,000"
Cristiano Felício,Cristiano Felício,Chicago Bulls,2019,"$8,156,500"
Cristiano Felício,Cristiano Felício,Chicago Bulls,2020,"$7,529,020"
Terrance Ferguson,Terrance Ferguson,Oklahoma City Thunder,2019,"$2,475,840"
Terrance Ferguson,Terrance Ferguson,Oklahoma City Thunder,2020,"$3,944,013"
Bruno Fernando,Bruno Fernando,Atlanta Hawks,2019,"$1,400,000"
Bruno Fernando,Bruno Fernando,Atlanta Hawks,2020,"$1,517,981"
Bruno Fernando,Bruno Fernando,Atlanta Hawks,2021,"$1,782,621"
Yogi Ferrell,Yogi Ferrell,Sacramento Kings,2019,"$3,150,000"
Dorian Finney-Smith,Dorian Finney-Smith,Dallas Mavericks,2019,"$4,000,000"
Dorian Finney-Smith,Dorian Finney-Smith,Dallas Mavericks,2020,"$4,000,000"
Dorian Finney-Smith,Dorian Finney-Smith,Dallas Mavericks,2021,"$4,000,000"
Bryn Forbes,Bryn Forbes,San Antonio Spurs,2019,"$2,875,000"
Evan Fournier,Evan Fournier,Orlando Magic,2019,"$17,000,000"
Evan Fournier,Evan Fournier,Orlando Magic,2020,"$17,000,000"
De'Aaron Fox,De'Aaron Fox,Sacramento Kings,2019,"$6,392,760"
De'Aaron Fox,De'Aaron Fox,Sacramento Kings,2020,"$8,099,627"
Melvin Frazier,Melvin Frazier,Orlando Magic,2019,"$1,416,852"
Melvin Frazier,Melvin Frazier,Orlando Magic,2020,"$1,663,861"
Tim Frazier,Tim Frazier,Detroit Pistons,2019,"$1,882,867"
Markelle Fultz,Markelle Fultz,Orlando Magic,2019,"$9,745,200"
Markelle Fultz,Markelle Fultz,Orlando Magic,2020,"$12,288,697"
Wenyen Gabriel,Wenyen Gabriel,Portland Trail Blazers,2019,"$898,310"
Daniel Gafford,Daniel Gafford,Chicago Bulls,2019,"$898,310"
Daniel Gafford,Daniel Gafford,Chicago Bulls,2020,"$1,517,981"
Daniel Gafford,Daniel Gafford,Chicago Bulls,2021,"$1,782,621"
Daniel Gafford,Daniel Gafford,Chicago Bulls,2022,"$1,930,681"
Danilo Gallinari,Danilo Gallinari,Oklahoma City Thunder,2019,"$22,615,559"
Langston Galloway,Langston Galloway,Detroit Pistons,2019,"$7,333,333"
Darius Garland,Darius Garland,Cleveland Cavaliers,2019,"$6,400,920"
Darius Garland,Darius Garland,Cleveland Cavaliers,2020,"$6,720,720"
Darius Garland,Darius Garland,Cleveland Cavaliers,2021,"$7,040,880"
Darius Garland,Darius Garland,Cleveland Cavaliers,2022,"$8,920,795"
Marc Gasol,Marc Gasol,Toronto Raptors,2019,"$25,595,700"
Pau Gasol,Pau Gasol,Portland Trail Blazers,2019,"$2,564,753"
Rudy Gay,Rudy Gay,San Antonio Spurs,2019,"$14,000,000"
Rudy Gay,Rudy Gay,San Antonio Spurs,2020,"$14,000,000"
Paul George,Paul George,Los Angeles Clippers,2019,"$33,005,556"
Paul George,Paul George,Los Angeles Clippers,2020,"$35,450,412"
