Trevor Ariza,2006,20,ORL,NBA,SF,21,290,,1%,94%,5%,,4.8,6.4,9,4,11,2,23,2,30,2,10
Trevor Ariza,2007,21,ORL,NBA,SG,57,1278,,32%,61%,7%,,2.7,2.5,24,23,58,15,84,10,141,23,29
Trevor Ariza,2008,22,TOT,NBA,SF,35,546,,3%,94%,3%,,2.7,-4.4,13,2,22,3,31,4,103,5,6
Trevor Ariza,2008,22,ORL,NBA,SF,11,115,,6%,93%,1%,,6.2,0.4,1,1,5,1,7,3,20,1,1
Trevor Ariza,2008,22,LAL,NBA,SF,24,431,,2%,95%,3%,,1.8,-6.6,12,1,17,2,24,1,83,4,5
Trevor Ariza,2009,23,LAL,NBA,SF,82,1999,,4%,94%,2%,,8.1,-0.1,44,15,63,8,80,15,324,21,32
Trevor Ariza,2010,24,HOU,NBA,SF,72,2629,,,91%,9%,,-0.7,-0.5,71,42,71,18,108,10,614,23,62
Trevor Ariza,2011,25,NOH,NBA,SF,75,2600,,,90%,10%,,-0.2,-2.9,42,34,68,22,93,9,361,22,43
Trevor Ariza,2012,26,NOH,NBA,SF,41,1350,,11%,87%,2%,,-6.9,-4.6,30,27,29,10,42,7,299,9,26
Trevor Ariza,2013,27,WAS,NBA,SF,56,1471,,,92%,8%,,-1.1,3,45,14,26,8,40,3,254,10,19
Trevor Ariza,2014,28,WAS,NBA,SF,77,2723,,2%,92%,6%,,3.5,7.3,60,37,67,22,75,12,432,13,46
Trevor Ariza,2015,29,HOU,NBA,SF,82,2930,,1%,85%,14%,,3.9,1.2,78,30,64,17,60,8,510,11,34
Trevor Ariza,2016,30,HOU,NBA,SF,81,2859,,,58%,41%,1%,0.7,2.4,68,18,52,9,65,5,456,9,38
Trevor Ariza,2017,31,HOU,NBA,SF,80,2773,,2%,78%,21%,,6.3,0.4,40,16,60,5,48,10,427,9,22
Trevor Ariza,2018,32,HOU,NBA,SF,67,2269,,14%,81%,5%,,8.3,-0.7,22,17,34,7,35,9,269,13,21
Trevor Ariza,2019,33,TOT,NBA,SF,69,2349,,2%,70%,28%,,-7,-1.5,67,19,57,9,78,16,591,25,33
Trevor Ariza,2019,33,PHO,NBA,SF,26,884,,,62%,38%,,-15.1,-7.8,19,10,16,5,19,6,208,5,13
Trevor Ariza,2019,33,WAS,NBA,SF,43,1465,,4%,74%,21%,1%,-2.2,1.1,48,9,41,4,59,10,383,20,20
Trevor Ariza,2020,34,TOT,NBA,SF,53,1493,,2%,88%,10%,,-0.2,2,28,10,33,5,36,15,223,8,11
Trevor Ariza,2020,34,SAC,NBA,SF,32,791,,1%,89%,10%,,-2.1,-0.2,16,3,19,3,12,8,122,2,4
