Nemanja Bjelica,pbp.2018,29,MIN,NBA,PF,5,47,,,,100%,,-12.2,-3.4,0,1,3,0,4,0,6,1,1
Tarik Black,pbp.2018,26,HOU,NBA,C,7,19,,,,14%,87%,-46.6,-49.5,0,1,3,0,0,0,4,0,1
Eric Bledsoe,pbp.2012,22,LAC,NBA,PG,11,189,57%,44%,,,,14.5,30.2,7,3,8,4,4,2,53,1,6
Eric Bledsoe,pbp.2013,23,LAC,NBA,PG,6,97,66%,34%,,,,8.4,22.6,1,4,4,0,5,0,41,0,1
Eric Bledsoe,pbp.2018,28,MIL,NBA,PG,7,225,100%,,,,,5.7,14.7,6,4,3,3,9,2,64,1,4
Eric Bledsoe,pbp.2019,29,MIL,NBA,PG,15,423,100%,,,,,10,1.4,20,9,9,3,22,3,160,5,8
Bojan Bogdanović,pbp.2015,25,BRK,NBA,SF,6,206,,,68%,32%,,-7.9,-7.2,3,3,3,1,3,1,26,1,4
Bojan Bogdanović,pbp.2017,27,WAS,NBA,SF,13,264,,,23%,76%,1%,-12.5,-20.3,6,1,9,1,10,0,21,2,3
Bojan Bogdanović,pbp.2018,28,IND,NBA,SF,7,238,,,98%,2%,,6.1,-0.8,5,6,9,0,7,3,30,4,6
Bojan Bogdanović,pbp.2019,29,IND,NBA,SF,4,148,,,92%,8%,,-11,-19.3,2,3,3,1,6,2,27,3,5
Andrew Bogut,pbp.2006,21,MIL,NBA,PF,5,172,,,,58%,42%,-12,-0.6,4,1,9,1,2,1,40,0,4
Andrew Bogut,pbp.2013,28,GSW,NBA,C,12,327,,,,,100%,7.1,15,10,3,16,7,6,1,53,1,2
Andrew Bogut,pbp.2015,30,GSW,NBA,C,19,440,,,,,100%,2.5,-10,14,7,34,4,4,4,87,1,6
Andrew Bogut,pbp.2016,31,GSW,NBA,C,22,365,,,,,100%,5.9,1.7,4,6,28,8,0,5,77,0,6
Andrew Bogut,pbp.2019,34,GSW,NBA,C,19,179,,,,,100%,-2.4,-7,4,1,15,4,3,3,44,1,1
Jonah Bolden,pbp.2019,23,PHI,NBA,PF,10,79,,,15%,60%,25%,-16.4,-22.1,3,3,6,3,2,0,7,0,0
Joel Bolomboy,pbp.2017,23,UTA,NBA,PF,2,9,,,,100%,,47.1,52.5,0,0,0,0,0,0,0,0,0
Chris Boucher,pbp.2019,26,TOR,NBA,PF,2,4,,,,100%,,-44.7,-50.6,0,0,0,0,1,0,0,1,1
Avery Bradley,pbp.2012,21,BOS,NBA,PG,10,248,22%,78%,,,,15.7,20,4,3,8,0,4,0,17,0,7
